/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/11 - crazy birthday.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 crazy birthday	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/12 - 君はともだち.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 君はともだち	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - CIDER ROAD/13 - シャンデリア・ワルツ.flac	 UNISON SQUARE GARDEN	 CIDER ROAD	 シャンデリア・ワルツ	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/01 - サイレンインザスパイ.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 サイレンインザスパイ	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/02 - シューゲイザースピーカー.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 シューゲイザースピーカー	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/03 - 桜のあと (all quartets lead to the_).flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 桜のあと (all quartets lead to the?)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/04 - 蒙昧termination.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 蒙昧termination	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/05 - 君が大人になってしまう前に.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 君が大人になってしまう前に	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/06 - メカトル時空探検隊.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 メカトル時空探検隊	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/07 - 流れ星を撃ち落せ.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 流れ星を撃ち落せ	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/08 - 何かが変わりそう.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 何かが変わりそう	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/09 - harmonized finale.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 harmonized finale	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/10 - 天国と地獄.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 天国と地獄	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/11 - instant EGOIST.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 instant EGOIST	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - Catcher In The Spy (disc 1)/12 - 黄昏インザスパイ.flac	 UNISON SQUARE GARDEN	 Catcher In The Spy (disc 1)	 黄昏インザスパイ	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/01 - アンドロメダ.flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 アンドロメダ	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/02 - フルカラープログラム (D.A style).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 フルカラープログラム (D.A style)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/03 - 徹頭徹尾夜な夜なドライブ.flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 徹頭徹尾夜な夜なドライブ	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/04 - ガリレオのショーケース (D.A style).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 ガリレオのショーケース (D.A style)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/05 - 23_25 (D.A mix).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	25 (D.A mix)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/06 - 夕凪、アンサンブル.flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 夕凪、アンサンブル	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/07 - kid, I like quartet (D.A mix).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 kid, I like quartet (D.A mix)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/08 - 誰かが忘れているかもしれない僕らに大事な001のこと (D.A mix).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 誰かが忘れているかもしれない僕らに大事な001のこと (D.A mix)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/09 - 天国と地獄.flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 天国と地獄	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/10 - 未完成デイジー (D.A mix).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 未完成デイジー (D.A mix)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/11 - シャンデリア・ワルツ.flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 シャンデリア・ワルツ	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/12 - 場違いハミングバード (D.A mix).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 場違いハミングバード (D.A mix)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/13 - 箱庭ロック・ショー (D.A style).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 箱庭ロック・ショー (D.A style)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/14 - クローバー (D.A mix).flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 クローバー (D.A mix)	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/15 - プログラムcontinued.flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 プログラムcontinued	70
/home/pi/Music/CD/UNISON/UNISON SQUARE GARDEN - DUGOUT ACCIDENT/16 - さわれない歌.flac	 UNISON SQUARE GARDEN	 DUGOUT ACCIDENT	 さわれない歌	70
